"territory","id_indicator","period","territory.ccube.0","territory.ccube.1","territory.ccube.2","territory.ccube.attr.0","value"
"54000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Орловская область","3","1026"
"54000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Орловская область","3","1036"
"54000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Орловская область","3","944"
"54000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Орловская область","3","808"
"61000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Рязанская область","3","1369"
"61000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Рязанская область","3","1483"
"61000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Рязанская область","3","1437"
"61000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Рязанская область","3","1477"
"61000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Рязанская область","3","1412"
"66000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Смоленская область","3","1190"
"66000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Смоленская область","3","1213"
"66000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Смоленская область","3","1257"
"66000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Смоленская область","3","1197"
"66000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Смоленская область","3","1142"
"68000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Тамбовская область","3","1304"
"68000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Тамбовская область","3","1301"
"68000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Тамбовская область","3","1309"
"68000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Тамбовская область","3","1287"
"68000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Тамбовская область","3","1198"
"28000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Тверская область","3","1699"
"28000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Тверская область","3","1909"
"28000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Тверская область","3","1796"
"28000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Тверская область","3","1668"
"28000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Тверская область","3","1639"
"70000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Тульская область","3","1922"
"70000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Тульская область","3","2020"
"70000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Тульская область","3","1969"
"70000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Тульская область","3","1904"
"70000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Тульская область","3","1888"
"78000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Ярославская область","3","1490"
"78000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Ярославская область","3","1686"
"78000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Ярославская область","3","1579"
"78000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Ярославская область","3","1511"
"78000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Ярославская область","3","1499"
"45000000","819","31 Aug 2015 00:00:00","Российская Федерация","Центральный федеральный округ","Город Москва","3","9476"
"45000000","819","31 Aug 2016 00:00:00","Российская Федерация","Центральный федеральный округ","Город Москва","3","10034"
"45000000","819","31 Aug 2017 00:00:00","Российская Федерация","Центральный федеральный округ","Город Москва","3","9618"
"45000000","819","31 Aug 2018 00:00:00","Российская Федерация","Центральный федеральный округ","Город Москва","3","9653"
"45000000","819","31 Aug 2019 00:00:00","Российская Федерация","Центральный федеральный округ","Город Москва","3","9602"
"86000000","819","31 Aug 2015 00:00:00","Российская Федерация","Северо-Западный федеральный округ","Республика Карелия","3","746"
